ID,人物,传统,现标v1,语句
03268,商羯罗,印度,A,凡夫执我我所，智者知我即梵，无有我所。——《梵经注·卷一》〔译〕
03269,牟宗三,中国,B,政统之继续，即完成民主建国。——《政道与治道》 〔意译〕
03270,加缪,西方,B,世界的荒谬，不赦免人，却召唤人站立。——《西西弗神话》〔意译〕
03271,密尔,西方,B,国家的职能，是保障个人自由，而非取代它。——《论自由》〔译〕
03272,朱熹,中国,B,太极只是个极好至善的道理。——《太极图说解》
03273,惠施,中国,B,大同而与小同异，此之谓小同异；万物毕同毕异，此之谓大同异。——《庄子·天下》（历物十事之五）
03274,康德,西方,B,法治国家中，每个人都是主权者的成员，而非臣属。——《道德形而上学·法权论》〔译〕
03275,商鞅,中国,B,无宿治，则邪官不及为奸。——《商君书·垦令》
03276,洛克,西方,A,记忆是同一人格得以成立的关键。——《人类理解论》卷二·章廿七·节20〔意译〕
03277,康德,西方,B,天赋权利，是每个人依其人性而有的、与生俱来的权利。——《道德形而上学·法权论》〔译〕
03278,萨特,西方,A,我选择自己时，也把世界纳入我的谋划。——《存在与虚无》〔意译〕
03279,马克思,西方,B,危机，是资本主义矛盾的暴力爆发。——《资本论》第三卷〔译〕
03280,伊壁鸠鲁,西方,A,死亡于我们无足轻重；因那消散者已无感觉，而无感觉者于我无物。——〔译〕《主要学说》KD 2
03281,苏格拉底,西方,B,未经检验的意见，只是幻象。——柏拉图《理想国》〔译〕※
03282,郭象,中国,B,斯非有所私也，故万物得以自生。——《庄子注·大宗师》
03283,王夫之,中国,A,学者之患，莫大于自欺。——《俟解》 〔意译〕
03284,黄宗羲,中国,B,取士之法，当宽于资格而严于实学。——《明夷待访录·取士》 〔意译〕
03285,萨特,西方,B,人通过他人认识自己，却也在他人中迷失。——《存在与虚无》〔意译〕
03286,商羯罗,印度,A,究竟智（上智）者，见一切唯梵，无有二。——《梵经注·卷三》〔译〕
03287,王阳明,中国,A,吾心自有光明月，千古团圆永无缺。——《中秋》
03288,海亚姆,伊斯兰波斯,B,酒与歌，是这虚妄世间唯一真实。——《鲁拜集》〔译〕
03289,莱布尼茨,西方,B,充足理由律：凡发生之事，必有理由使之如此而非别样。——《单子论》第32节〔意译〕
03290,福柯,西方,A,我把自我当作一种待解的作品，而非既定的实体。——《性经验史·关心自己》〔意译〕
03291,第欧根尼,西方,A,我从不为贫穷遮掩，因它本不值得羞耻。——〔意译〕《名哲言行录》卷六（据其言行）
03292,福柯,西方,B,灵魂是身体的监狱。——《规训与惩罚》〔译〕
03293,老子,中国,B,慎终如始，则无败事。——《道德经·第六十四章》
03294,第欧根尼,西方,B,多数人的意见如风，不可为立身之据。——〔意译〕《名哲言行录》卷六（据其言论）
03295,德谟克利特,西方,B,高贵而贫者，胜过低贱而富者。——〔译〕《残篇》〔⚠️ 编号待核；斯托拜乌斯《选集》转引〕
03296,海德格尔,西方,A,我能失去的，只是那本不属于我的「常人」身份。——《存在与时间》〔意译〕
03297,王充,中国,B,夫天覆于上，地偃于下，下气蒸上，上气降下，万物自生其中间矣。——《论衡·自然》
03298,李贽,中国,A,童子者，人之初也；童心者，心之初也。——《焚书·童心说》
03299,鲁米,伊斯兰波斯,B,社群如体，一肢痛，全身感。——《玛斯纳维·卷三》〔译〕
03300,慧能,中国,B,改过必生智慧，护短心内非贤。——《坛经·无相颂》（宗宝本） ⚠️
03301,顾炎武,中国,A,学者当先立乎其大者。——《亭林文集》 〔意译〕
03302,柏拉图,西方,A,真正的哲学家，终其一生都在练习死亡与死的状态。——〔译〕《斐多》64a
03303,密尔,西方,A,幸福，是可欲的；但有时为更高的善而牺牲幸福，这本身即是幸福。——《功利主义·第二章》〔译〕
03304,巴门尼德,西方,B,它是唯一者，连续不可分；因为它与自身处处相似。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）
03305,海德格尔,西方,B,科学不思；它只在存在者层面运作。——《演讲与论文集·什么叫思想？》〔译〕
03306,黑格尔,西方,B,历史中的个人，是「世界历史个人」，他们实现了时代的精神。——《历史哲学讲演录》〔译〕
03307,庄子,中国,A,相濡以沫，不如相忘于江湖。——《庄子·大宗师》
03308,帕斯卡,西方,A,真正的自由，是摆脱对消遣的奴役，回到自己的内心。——《思想录》L164〔意译〕
03309,陆九渊,中国,A,古人精神，不只是在书上。——《语录》
03310,程颐,中国,A,颜子所好者，何学也？学以至圣人之道也。——《颜子所好何学论》
03311,荀子,中国,B,言而当，知也；默而当，亦知也。——《荀子·非十二子》
03312,福柯,西方,B,生命的权力（bio-power）以「使活」与「任死」为运作方式。——《必须保卫社会》〔译〕
03313,奥古斯丁,西方,B,魔鬼之恶，不在被造的本性，而在其悖逆的选择。——《论自由意志·3·1》〔译〕
03314,海亚姆,伊斯兰波斯,A,一饼、一壶酒、一卷诗，你在我旁荒野之中——此即天堂。——《鲁拜集》（菲茨杰拉德英译第5版，「一卷诗」首）〔译〕
03315,慧能,中国,A,无念为宗，无相为体，无住为本。——《坛经》（敦煌本）
03316,伊壁鸠鲁,西方,B,不要怕神，也不要怕死；善的事物容易得到，可怕的事物容易忍受。——〔译〕《致美诺寇的信》LM
03317,王阳明,中国,B,吾平生讲学，只是「致良知」三字。——《寄正宪男手墨》
03318,笛卡尔,西方,A,思想是我的本质，没有思想，我就不存在。——《第一哲学沉思集》第二沉思〔意译〕
03319,亚里士多德,西方,A,最容易的是滑向两个极端，最难的是命中那居中的一点。——〔译〕《尼各马可伦理学》1109b
03320,孔子,中国,A,不患人之不己知，患不知人也。——《论语·学而》
03321,密尔,西方,A,良知，是社会强加于个人的第二道律令。——《论自由·第四章》〔译〕
03322,罗素,西方,A,我的一生，是渴望理解世界、也渴望被世界理解的一生。——《自传》〔意译〕
03323,马可·奥勒留,西方,A,一个人失去的不是过去的生活，也不是未来的生活，因为他并不拥有它们；他失去的只是他此刻正在过的生活。——《沉思录》卷二·14
03324,休谟,西方,B,因果推断的根基是习惯，而非逻辑必然性。——《人性论》卷一·部三·章十四〔意译〕
03325,维特根斯坦,西方,A,哲学不改进我，它只是让我看清自己语言的混乱。——《哲学研究》§133〔意译〕
03326,王弼,中国,B,夫爻者，言乎变者也。——《周易略例·明爻通变》
03327,顾炎武,中国,B,史者，所以鉴往知来、考治乱之迹。——《亭林文集》 〔意译〕
03328,巴门尼德,西方,B,只有两条探究之路可陈说：其一，它存在，且不可能不存在——这是说服之路，与真理同行；其二，它不存在，且必然不存在——此路绝不可知。——〔译〕《论自然》残篇 DK B2（辛普里丘转引）
03329,王夫之,中国,B,有定理而无定法。——《读通鉴论》
03330,福柯,西方,A,我警惕一切把我变成权威的企图。——《权力的眼睛》〔意译〕
03331,牟宗三,中国,B,三统并建：道统、学统、政统。——《政道与治道》 〔意译〕
03332,雅斯贝尔斯,西方,B,大全（das Umgreifende）是一切存在者得以被包含的无所不包的境域。——《哲学》〔译〕
03333,笛卡尔,西方,B,上帝在时间之初创造了物质以及运动的量与方式，如今仍通过同一行为维持它们。——《哲学原理》第二部分·§36〔意译〕
03334,周敦颐,中国,A,至诚则动，动则变，变则化。——《通书·拟议》
03335,巴门尼德,西方,B,思想若离了存在，便无所思；因为思者之外，别无他物。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）
03336,僧肇,中国,A,圣人之于物也，即万物之自虚，不假虚而虚物。——《不真空论》
03337,熊十力,中国,B,古今之变，非一途；治者当观其会通。——《读经示要》 〔意译〕
03338,福柯,西方,A,我从不寻求成为谁的导师；我写作是为了让问题保持开放。——《权力的眼睛》〔意译〕
03339,黑格尔,西方,B,国家，是伦理理念的现实。——《法哲学原理·§257》〔译〕
03340,塞涅卡,西方,B,时间是大自然借给我们的，它终将收回；没有什么真正属于我们。——《论生命之短暂·1》〔译〕
03341,奥古斯丁,西方,A,你比我最显的作为更真实，比我最深的自我更亲切。——《忏悔录·3·6》〔译〕
03342,韩非,中国,B,人主自用其刑德，则群臣畏其威而归其利矣。——《韩非子·二柄》
03343,奥古斯丁,西方,B,我们在受造界中看见神的痕迹，正如在书页中读作者。——《论三位一体·1·?》〔译〕
03344,亚里士多德,西方,B,每种技艺与每种探究，都以某种善为目的。——〔译〕《尼各马可伦理学》1094a
03345,王夫之,中国,B,天之生物，其化不息。——《思问录·内篇》
03346,慧能,中国,B,食肉者断大慈悲佛性种子。——《坛经》（敦煌本）
03347,罗素,西方,B,一个好社会，应让尽可能多的人获得幸福，而不只让少数人掌握权力。——《社会重建的原则》〔译〕
03348,释迦牟尼,印度,B,地狱、畜生、饿鬼之苦，皆由自业所感，非从外得。——《长阿含经·游行经》
03349,商鞅,中国,B,以刑去刑，虽重刑可也。——《商君书·去强》
03350,董仲舒,中国,B,天者，百神之君也，王者之所最尊也。——《春秋繁露·郊义》
03351,赫拉克利特,西方,A,同一物在我们身上既生且死、既醒且眠、既幼且老；这些事物转化便是那些，那些转化便是这些。——〔译〕《残篇》DK B88（克莱门《杂记》转引）
03352,周敦颐,中国,A,人之生，不幸，不闻过；大不幸，无耻。必有耻，则可教；闻过，则可贤。——《通书·幸》
03353,尼采,西方,B,基督教是怜悯的宗教，而怜悯与一切上升的生命本能相敌对。——《敌基督》第7节〔意译〕
03354,程颢,中国,A,苟以外物为外，牵己而从之，是以己性为有内外也。——《定性书》
03355,胡塞尔,西方,A,我自身的时间性构成了内在体验之流。——《笛卡尔式的沉思》〔意译〕
03356,叔本华,西方,A,自杀是对意志的肯定而非否定，因为它出自对生命的厌恶，而非对意志的超越。——《作为意志和表象的世界》〔译〕
03357,阿奎那,西方,B,自然之有目的，显有 intelligent designer；无序之中有序，岂偶然哉。——《神学大全·I·q.2·a.3》〔译〕
03358,赫拉克利特,西方,B,对于醒着的人，世界是同一而共同的；对于每个睡者，却各自退入一个私人的世界。——〔译〕《残篇》DK B89（第欧根尼·拉尔修 IX.9 转引）
03359,公孙龙,中国,B,故所以为有马者，独以马为有马耳，非有白马为有马。——《公孙龙子·白马论》
03360,孟子,中国,B,五亩之宅，树之以桑，五十者可以衣帛矣。——《孟子·梁惠王上》
03361,萨特,西方,B,群体（le groupe）既解放又奴役个体。——《辩证理性批判》〔译〕
03362,海德格尔,西方,B,世界世界化，物物化。——《林中路·物》〔译〕
03363,克尔凯郭尔,西方,A,在无限弃绝中，骑士找回了自己。——《恐惧与颤栗》（Johannes de Silentio）〔译〕
03364,萨特,西方,A,真诚（sincérité）的谎言在于假装自己是被决定的。——《存在与虚无》〔译〕
03365,萨特,西方,B,语言是他人闯入我内在的通道。——《存在与虚无》〔意译〕
03366,孙子,中国,B,惟明君贤将，能以上智为间者，必成大功。——《孙子兵法·用间篇》
03367,熊十力,中国,B,治道贵通，不贵执。——《原儒·卷三》 〔意译〕
03368,孔子,中国,B,未能事人，焉能事鬼？未知生，焉知死？——《论语·先进》
03369,牟宗三,中国,A,智的直觉，是本体之自我呈现。——《智的直觉与中国哲学》 〔意译〕
03370,密尔,西方,B,权力，需要被制约，无论它来自君主还是多数。——《代议制政府》〔译〕
03371,马克思,西方,A,共产主义，是人与自然、人与人之间矛盾的真正解决。——《1844年经济学哲学手稿》〔译〕
03372,洛克,西方,A,若没有理解，便没有真正的选择。——《人类理解论》卷二·章廿一·节31〔意译〕
03373,康德,西方,A,人之所以为人，在于他能为自己立法。——《道德形而上学奠基》〔译〕
03374,亚里士多德,西方,A,幸福之人自足，因他无所匮乏于外物而能自得其乐。——〔译〕《尼各马可伦理学》1169b—1170a
03375,孙子,中国,A,上将伐谋，其次伐交，其次伐兵，其下攻城。——《孙子兵法·谋攻篇》
03376,安萨里,伊斯兰波斯,A,内在的意向（niyya），重于外在的仪式。——《宗教学科的复兴》〔译〕
03377,王阳明,中国,B,人只要在性上用功，看得一「性」字分明，即万理灿然。——《传习录》上
03378,程颢,中国,A,学者须先识仁。仁者，浑然与物同体。识得此理，以诚敬存之而已，不须防检，不须穷索。——《识仁篇》（《遗书》卷二上）
03379,僧肇,中国,B,若动而静，似去而留；可以神会，难以事求。——《物不迁论》
03380,莱布尼茨,西方,B,上帝的选择出于至善，因而世界必然最好。——《神义论》〔意译〕
03381,牟宗三,中国,A,良知之天理，是吾人立身之权衡。——《圆善论》 〔意译〕
03382,萨特,西方,A,人活成自己不是的，却要成为自己是的。——《存在与虚无》〔意译〕
03383,商鞅,中国,B,赏厚而信，刑重而必。——《商君书·修权》
03384,公孙龙,中国,B,以天下之所有，为天下之所无，未可。——《公孙龙子·指物论》
03385,海德格尔,西方,A,死亡是此在最本己的、不可转让的可能性。——《存在与时间》§53〔译〕
03386,柏拉图,西方,B,不义者灵魂内部彼此冲突，永远不能自洽。——〔译〕《理想国》444b—445a
03387,加缪,西方,B,我们都在推石，这是人类无声的兄弟情谊。——《西西弗神话》〔意译〕
03388,第欧根尼,西方,B,习俗是多数人的成见；自然才是真实的律法。——〔意译〕《名哲言行录》卷六（犬儒要义）
03389,商鞅,中国,A,虽有贤君，不爱无功之臣；虽有慈父，不爱无益之子。——《商君书·修权》
03390,吉田兼好,日本,B,天下之事，成于慎，败于忽。——《徒然草》〔译〕
03391,萨特,西方,A,人处在「被弃」状态：无造物主为他预设意义。——《存在主义是一种人道主义》〔译〕
03392,董仲舒,中国,B,王道之三纲，可求于天。——《春秋繁露·基义》
03393,朱熹,中国,A,格物是梦觉关，诚意是善恶关。——《语类》
03394,荀子,中国,B,明分使群。——《荀子·富国》
03395,王阳明,中国,A,破山中贼易，破心中贼难。——《王文成公全书·与杨仕德薛尚谦》
03396,柏拉图,西方,B,宇宙本身是一个有生命、有理性、可见的神。——〔译〕《蒂迈欧》30b—34a
03397,苏格拉底,西方,B,我找不到任何一个人是真正有智慧的。——柏拉图《申辩篇》21b—c〔译〕
03398,商羯罗,印度,B,世界生灭如泡沫，梵不生不灭如虚空。——《伊莎奥义书注》〔译〕
03399,密尔,西方,A,自我修养，是每个人对自己和社会的义务。——《自传》〔译〕
03400,朱熹,中国,B,论先后，当以知为先；论轻重，当以行为重。——《语类》卷九
03401,康德,西方,A,启蒙，是人走出由他自己所招致的监护状态。——《答复这个问题：什么是启蒙》（1784）〔译〕
03402,公孙龙,中国,B,指也者，天下之所无也；物也者，天下之所有也。——《公孙龙子·指物论》
03403,韩非,中国,B,宰相必起于州部，猛将必发于卒伍。——《韩非子·显学》
03404,帕斯卡,西方,A,眼泪并非来自理性的算计，而来自心的深处。——《思想录》〔意译〕
03405,伊壁鸠鲁,西方,B,爱财若取之不正，是不虔；若取之正当却拒不享用，是可耻。——〔译〕《梵蒂冈格言集》VS 25
03406,鲁米,伊斯兰波斯,B,一千种跪拜亲吻大地的方式。——《玛斯纳维·卷一》〔译〕
03407,洛克,西方,B,物质的微粒构造是事物可感性质的根据。——《人类理解论》卷二·章八·节9〔意译〕
03408,维特根斯坦,西方,A,我无法「私人地」遵守一条规则，规则的遵守必然公共。——《哲学研究》§202〔译〕
03409,柏拉图,西方,A,个人的正义，在于灵魂中理性、激情、欲望三者各司其职、互不僭越。——〔译〕《理想国》443e—444a
03410,福柯,西方,B,话语的秩序，决定了什么能被言说、什么必须沉默。——《知识考古学》〔译〕
03411,龙树,印度,B,若不依俗谛，不得第一义；不得第一义，则不得涅槃。——《中论·观四谛品》
03412,笛卡尔,西方,A,良知是世界上分配得最公平的东西，因为每个人对自己享有的那一份都那么满意。——《谈谈方法》第一部分〔意译〕
03413,慧能,中国,A,口说善，心不善，即是凡夫；口说善，心行善，即是解脱。——《坛经》（敦煌本）
03414,惠施,中国,B,南方无穷而有穷。——《庄子·天下》（历物十事之六）
03415,马可·奥勒留,西方,B,死亡不过是自然的一种运行，是物质元素的分解。——《沉思录》卷五·13
03416,王弼,中国,A,身没而道犹存。——《老子注·三十三章》
03417,萨特,西方,A,恶心（la Nausée）是对自身偶然存在的觉察。——《恶心》〔译〕
03418,嵇康,中国,A,导养得理，以尽性命。——《养生论》
03419,奥古斯丁,西方,A,幸福的生命，正是以真理为乐。——《忏悔录·10·23》〔译〕
03420,程颐,中国,A,性即理也。天下之理，原有所自来，顺之则易，逆之则难。——《遗书》卷二十二上
03421,克尔凯郭尔,西方,A,人至死都未曾成为自己，是最深的绝望。——《致死的疾病》（Anti-Climacus）〔译〕
03422,商鞅,中国,B,故圣人为法，必使之明白易知。——《商君书·定分》
03423,公孙龙,中国,A,至矣哉，古之明王！审其名实，慎其所谓。——《公孙龙子·名实论》
03424,巴门尼德,西方,B,他们首先构想出广漠的天穹之形，而后是环绕的大地。——〔译〕《论自然》残篇 DK B13（辛普里丘转引）
03425,孔子,中国,A,君子喻于义，小人喻于利。——《论语·里仁》
03426,陆九渊,中国,B,为学有讲明，有践履。——《语录》
03427,巴门尼德,西方,B,太阳被以太的牵引所约束，不得越出轨道。——〔译〕《论自然》残篇 DK B18（辛普里丘转引）
03428,克里希那穆提,印度,B,当你说「我的国家」，你已把人类分割。——《克里希那穆提讲演录》〔译〕
03429,程颐,中国,B,善言天者，必有征于人；善言古者，必有验于今。——《遗书》卷二十五
03430,荀子,中国,B,人无礼则不生，事无礼则不成，国家无礼则不宁。——《荀子·修身》
03431,罗素,西方,A,恐惧，是宗教与专制共同的根基，也是我一生力图驱除的内心阴影。——《为什么我不是基督徒》〔意译〕
03432,苏格拉底,西方,A,灵魂的疾病——不义与无知——比身体的疾病更严重。——柏拉图《克力同篇》47d 以下〔译〕※
03433,道元,日本,A,若人求佛，当知佛即汝之修行。——《正法眼藏·仏法》
03434,莱布尼茨,西方,A,理性的运用使人从混乱知觉上升为清楚知觉。——《单子论》第27节〔意译〕
03435,罗素,西方,A,逃避烦闷，是现代人诸多愚蠢行为的根源。——《幸福之路》〔译〕
03436,阿奎那,西方,A,审慎是行动中的正确理性；它教人在具体处境中择善。——《神学大全·II-II·q.47·a.4》〔译〕
03437,老子,中国,A,自见者不明，自是者不彰，自伐者无功，自矜者不长。——《道德经·第二十四章》
03438,孔子,中国,B,君子之德风，小人之德草。草上之风，必偃。——《论语·颜渊》
03439,萨特,西方,B,上帝之死，把人抛回自身的全部责任。——《存在主义是一种人道主义》〔意译〕
03440,康德,西方,A,一个诚实的人，宁可承受不公，也不以谎言逃避。——《论出于道德理由说谎的所谓权利》（1797）〔译〕
03441,释迦牟尼,印度,B,谁造世间？爱、取、有，造作世间，非梵天、非自在天。——《长阿含经·大缘方便经》
03442,加缪,西方,B,真理若被用来杀人，便不再是真理。——《反抗者》〔意译〕
03443,孙子,中国,B,知可以战与不可以战者胜，识众寡之用者胜，上下同欲者胜，以虞待不虞者胜，将能而君不御者胜。——《孙子兵法·谋攻篇》
03444,莱布尼茨,西方,A,每一个心灵都是一面以自己观点反映宇宙之镜。——《单子论》第83节〔意译〕
03445,周敦颐,中国,B,二气交感，化生万物。万物生生，而变化无穷焉。——《太极图说》
03446,王夫之,中国,B,兵者，国之大事，不可不慎。——《读通鉴论》 〔意译〕
03447,安萨里,伊斯兰波斯,B,善行之价，在诚不在多。——《宗教学科的复兴》〔译〕
03448,王弼,中国,A,致虚，物之极；守静，物之真正也。——《老子注·十六章》
03449,王夫之,中国,B,郡县之制，垂二千年而弗能改矣，合古今上下皆安之。——《读通鉴论·卷一》
03450,维特根斯坦,西方,B,逻辑充满世界；世界的界限亦是逻辑的界限。——《逻辑哲学论》5.61〔译〕
03451,王阳明,中国,B,圣人与天地民物同体，儒、佛、老、庄皆吾之用。——《传习录》下
03452,商鞅,中国,B,民不逃粟，野无荒草，则国富。——《商君书·垦令》
03453,阿奎那,西方,A,良知是理性之于行为之应用；它告诉我们何者为当行。——《神学大全·I-II·q.94·a.1》〔译〕
03454,叔本华,西方,B,名声，是迟到且常被错置的奖赏。——《附录与补遗·人生的智慧》〔译〕
03455,雅斯贝尔斯,西方,B,哲学的任务是唤醒人对临界处境的自觉。——《哲学》〔意译〕
03456,庄子,中国,B,至德之世，同与禽兽居，族与万物并。——《庄子·马蹄》
03457,周敦颐,中国,A,邪动，辱也；甚焉，害也。——《通书·慎动》
03458,马可·奥勒留,西方,B,宇宙即变化，生命即意见。——《沉思录》卷四·3
03459,慧能,中国,B,善知识，何名般若？般若者，唐言智慧也。——《坛经》（敦煌本）
03460,龙树,印度,A,若人执有我，则堕常边；执无我为空，则堕断边；离断常，见中道。——《中论·观本际品》〔意译〕
03461,德谟克利特,西方,A,德性不在于身体的力气，而在于意志的决断。——〔译〕《残篇》DK B45（斯托拜乌斯转引）
03462,福柯,西方,A,我把批评当作对自己的练习。——《言与文》〔意译〕
03463,帕斯卡,西方,A,人最大的病，是想统治一切却得不到安宁。——《思想录》L164〔意译〕
03464,赫拉克利特,西方,B,尽管这言说（logos）真实常在，人们却总像初次听闻般无所领悟。——〔译〕《残篇》DK B2（克莱门《杂记》转引）
03465,黑格尔,西方,B,否定之否定，是精神返回自身的运动。——《逻辑学》〔译〕
03466,亚里士多德,西方,B,公民资格，在于参与城邦的议事与审判。——〔译〕《政治学》1278a—b
03467,熊十力,中国,A,良知是自家底明灯。——《十力语要·卷三》 〔意译〕
03468,萨特,西方,B,注视：他人的目光把我对象化为「为他的存在」。——《存在与虚无》〔译〕
03469,克里希那穆提,印度,A,认识自己，不是积累知识，而是时时刻刻的觉察。——《人生中不可不想的事》〔译〕
03470,安萨里,伊斯兰波斯,B,群体若无共识与法，则散如沙。——《宗教学科的复兴》〔译〕
03471,巴门尼德,西方,B,太阳与月亮，循着必然的轨道轮转不息。——〔译〕《论自然》残篇 DK B18（辛普里丘转引）
03472,吉田兼好,日本,A,自省一日，胜读书十年。——《徒然草》〔译〕
03473,黑格尔,西方,B,矛盾，是事物进展的动力。——《逻辑学》〔译〕
03474,马可·奥勒留,西方,B,人生如同戏剧，你只需演好分配给你的角色。——《沉思录》卷六·15〔意译〕
03475,马可·奥勒留,西方,B,我做对别人有益的事，这本身就是我的收获。——《沉思录》卷五·6〔意译〕
03476,克尔凯郭尔,西方,B,历史不会重复，因为个体不可重复。——《日记》（Papirer）〔译〕
03477,马克思,西方,A,自我异化的人，把类生活变成维持个体生存的手段。——《1844年经济学哲学手稿》〔译〕
03478,福柯,西方,B,作者功能，是一种限制文本意义的制度性建构。——《什么是作者》〔译〕
03479,朱熹,中国,B,问：「尽心、知性、知天」，何也？曰：「心者，主乎性者也；性者，心之理也。」——《孟子集注》
03480,王阳明,中国,B,道，天下之公道也；学，天下之公学也。非朱子可得而私也，非孔子可得而私也。——《答罗整庵少宰书》
03481,雅斯贝尔斯,西方,A,我必须在「好像」中行动，尽管没有绝对根据。——《哲学》〔意译〕
03482,亚里士多德,西方,B,理论科学最为精确、最为自足，高于实践的与创制的。——〔译〕《形而上学》1025b—1026a
03483,慧能,中国,B,善知识，莫闻吾说空，便即著空。——《坛经》（敦煌本）
03484,黄宗羲,中国,B,古者以天下为主，君为客；凡君之所毕世而经营者，为天下也。——《明夷待访录·原君》
03485,郭象,中国,B,在上者，患于不能无为，而代人臣之所司。——《庄子注·天道》
03486,僧肇,中国,A,是以般若之与真谛，言用即同而异，言寂即异而同。——《般若无知论》
03487,伊壁鸠鲁,西方,A,自然所赐的财富有限而易于获得，虚妄幻想的财富则无穷无尽。——〔译〕《主要学说》KD 15
03488,巴门尼德,西方,B,以太是最轻、最纯者，居于天界最外。——〔译〕《论自然》残篇 DK B10（辛普里丘转引）
03489,程颢,中国,A,与其是内而非外，不若内外之两忘也。——《定性书》
03490,萨特,西方,B,他人即地狱。——戏剧《禁闭》（Huis clos）〔译〕（出自剧本而非哲学论著）
03491,密尔,西方,A,把一生交给习俗，是对自我的背叛。——《论自由·第三章》〔译〕
03492,雅斯贝尔斯,西方,A,对自己的诚实，是哲学思考的起点。——《论真理》〔意译〕
03493,公孙龙,中国,B,故离也者，天下之故，独而正。——《公孙龙子·坚白论》
03494,尼采,西方,B,我们不是从「善」中推出「恶」，而是反过来：从「恶」的概念出发，追溯出「善」的建构。——《论道德的谱系》〔意译〕
03495,叔本华,西方,A,把每一天，当作独立的生命来活。——《附录与补遗·人生的智慧》〔译〕
03496,加缪,西方,B,他人的自由，是反抗者不可逾越的红线。——《反抗者》〔译〕
03497,李贽,中国,B,天下之至文，未有不出于童心焉者也。——《焚书·童心说》
03498,亚里士多德,西方,B,诗比历史更富哲理：诗言普遍，史记个别。——〔译〕《诗学》1451a—b
03499,王阳明,中国,B,明明德者，立其天地万物一体之体也。——《大学问》
03500,雅斯贝尔斯,西方,B,真理要求「可交往性」，孤立的宣称不是真理。——《论真理》〔译〕
03501,陆九渊,中国,B,尧舜与途人一，圣人与凡人一。——《语录》（卷二十二）
03502,叔本华,西方,A,人应当学会与自己相处，这是一切修养之母。——《附录与补遗·论独处》〔译〕
03503,马克思,西方,A,人创造环境，同样，环境也创造人。——《德意志意识形态》〔译〕
03504,孙子,中国,A,明主虑之，良将修之。——《孙子兵法·火攻篇》
03505,康德,西方,B,国家，是许多人依据法权法则的联合。——《道德形而上学·法权论》〔译〕
03506,维特根斯坦,西方,B,命题是实在的图像。——《逻辑哲学论》4.01〔译〕
03507,福柯,西方,B,坦白（confession）不是说出真相，而是生产出一种被权力认可的真相。——《性史·第一卷》〔译〕
03508,冯友兰,中国,B,气是事物之所以能存在底料。——《新理学·第一章》
03509,嵇康,中国,A,俯仰自得，游心太玄。——《兄秀才公穆入军赠诗》
03510,释迦牟尼,印度,B,怨亲平等，心无憎爱，是名沙门行。——《中阿含经·瞿昙弥经》〔意译〕
03511,王充,中国,A,论人之性，定有善有恶。——《论衡·率性》
03512,阿奎那,西方,A,德性是一种使人之所是及其所为皆归于善的习性。——《神学大全·I-II·q.71·a.1》〔译〕
03513,斯宾诺莎,西方,A,明智的人不为失去而悔恨，只为未曾理解而遗憾。——《伦理学》第四部分·命题四十七〔意译〕
03514,安萨里,伊斯兰波斯,B,财富是试金石，能显人心之贪廉。——《宗教学科的复兴》〔译〕
03515,海亚姆,伊斯兰波斯,B,世人逐名，名随尸腐。——《鲁拜集》〔译〕
03516,熊十力,中国,B,政者，正也；正己而后可正人。——《读经示要》 〔意译〕
03517,鲁米,伊斯兰波斯,A,你寻找的，正在寻找你。——《玛斯纳维·卷二》〔译〕
03518,孔子,中国,A,知之为知之，不知为不知，是知也。——《论语·为政》
03519,柏拉图,西方,B,修辞术若只求取悦听众而不求真理，便只是奉承之一种。——〔译〕《高尔吉亚》462c—465a
03520,吉田兼好,日本,B,月隐云中，其光不减。——《徒然草》〔译〕
03521,张载,中国,B,天道四时行，百物生，无非至教；圣人之动，无非至德。——《正蒙·天道》
03522,熊十力,中国,B,天地无心而成化，圣人有感而遂通。——《读经示要》 〔意译〕
03523,王夫之,中国,A,养气者，集义所生。——《思问录·内篇》 〔意译〕
03524,伊壁鸠鲁,西方,A,"必须驳斥众人对""至善""的错误意见，因他们执迷不悟。——〔译〕《主要学说》KD 23"
03525,海德格尔,西方,B,历史性的此在才可能有历史。——《存在与时间》§73〔译〕
03526,笛卡尔,西方,B,凡存在之物，其存在必有充足的原因。——《哲学原理》第一部分·§14〔意译〕
03527,朱熹,中国,B,人人有一太极，物物有一太极。——《语类》卷九十四
03528,周敦颐,中国,A,性者，刚柔、善恶，中而已矣。——《通书·师》
03529,休谟,西方,B,自然的秩序给予我们美感，但不可擅自推论出设计者的人格。——《宗教的自然史》〔意译〕
03530,笛卡尔,西方,A,我要把凡是我能够想象得到可能错的东西，一律予以清除，再看还剩下什么不可怀疑的。——《第一哲学沉思集》第一沉思〔意译〕
03531,慧能,中国,A,迷闻经累劫，悟则刹那间。——《坛经》（敦煌本）
03532,爱比克泰德,西方,B,凡发生在你身上的事，都是那把宇宙编织成一体的必然之线所安排；它与你的关系，正如同整出戏与某一角色的关系。——《手册·17》〔意译〕
03533,吉田兼好,日本,B,武士之勇，在知耻。——《徒然草》〔译〕
03534,柏拉图,西方,A,灵魂之眼须被强行转向，方能在真理之光中视物。——〔译〕《理想国》518e—519a
