人物,传统,现标v1,对象域v2,语句
维特根斯坦,西方,A,同一,自我是世界的一个界限，而非世界中的一个对象。——《逻辑哲学论》5.632〔译〕
荀子,中国,A,自我,目好色，耳好声，口好味，心好利，骨体肤理好愉佚，是皆生于人之情性者也。——《荀子·性恶》
孙子,中国,B,他者,出其所必趋，趋其所不意。——《孙子兵法·虚实篇》
奥古斯丁,西方,A,同一,静观真理时，我忘了时间；那一刻，我心与永恒相接。——《忏悔录·9·10》〔译〕
朱熹,中国,B,自我,天者，理而已矣。上古圣人，只是顺天理，不敢违。——《语类》卷一
帕斯卡,西方,A,自我,人的理智天然倾向于错误，犹如物体天然倾向于下落。——《思想录》〔意译〕⚠️
海亚姆,伊斯兰波斯,A,世界,时间如流，莫停杯以问永恒。——《鲁拜集》〔译〕
帕斯卡,西方,A,自我,一个人若不为永恒而活，他的一生便只是一阵风。——《思想录》〔意译〕⚠️
帕斯卡,西方,A,符号,我们爱真理，却只在它使我们愉悦时才爱。——《思想录》〔意译〕
帕斯卡,西方,A,自我,凡是想做天使的人，往往成了野兽。——《思想录》L162〔意译〕
加缪,西方,B,自我,世界没有意义，但人为它立法。——《西西弗神话》〔意译〕
萨特,西方,A,自我,存在先于本质。——《存在主义是一种人道主义》〔译〕
笛卡尔,西方,B,符号,那些由上帝创造的永恒真理，也依赖于上帝而成立。——《哲学原理》第一部分·§15〔意译〕
斯宾诺莎,西方,A,自我,悲伤源于我们被剥夺了所爱的东西，喜悦源于保全。——《伦理学》第三部分·命题四十七附释〔意译〕
董仲舒,中国,A,自我,夫人有义者，虽贫能自乐也；而大无义者，虽富莫能自存。——《春秋繁露·身之养重于义》
奥古斯丁,西方,A,自我,真正的悔改，是把心从所爱之物上撕下，交还于那当爱者。——《忏悔录·8·11》〔译〕
休谟,西方,B,符号,我们关于原因的知识，全部来自过去的经验。——《人性论》卷一·部三·章十二〔意译〕
惠施,中国,B,世界,日方中方睨，物方生方死。——《庄子·天下》（历物十事之四）
道元,日本,A,自我,修行无他，只是当处、当相、即今。——《正法眼藏·現成公案》
孟子,中国,A,自我,富贵不能淫，贫贱不能移，威武不能屈，此之谓大丈夫。——《孟子·滕文公下》
克里希那穆提,印度,B,自我,不要追随任何人，包括我。——《人生中不可不想的事》〔译〕
阿奎那,西方,A,自我,真正的自由，是「能不为所不当为」；外在的束缚，不夺内在的自主。——《神学大全·I-II·q.13·a.6》〔译〕
孔子,中国,B,自我,敏而好学，不耻下问。——《论语·公冶长》
巴门尼德,西方,B,世界,黑暗的大地居于中央，被以太所环绕。——〔译〕《论自然》残篇 DK B15（辛普里丘转引）
朱熹,中国,B,自我,仁义礼智，性也；恻隐、羞恶、辞让、是非，情也；以仁爱、以义恶、以礼让、以智知，心也。——《语类》卷五
王弼,中国,A,自我,静则全物之真，躁则犯物之性。——《老子注·四十五章》
洛克,西方,B,他者,宗教宽容是良心之事，不应由世俗权力裁决。——《论宗教宽容》〔意译〕
庄子,中国,B,符号,名者，实之宾也。——《庄子·逍遥游》
亚里士多德,西方,A,他者,实践智慧所关切的，是人事与可变化者，而非永恒不变之物。——〔译〕《尼各马可伦理学》1139b—1140a
商羯罗,印度,A,自我,敬师、问疑、久修，是入不二之门。——《梵经注·卷一》〔译〕
爱比克泰德,西方,A,自我,贪求而不得是苦，拥有而惧失也是苦；自由的秘诀，在于把欲求只放在自己能掌控之事上。——《手册·9》〔意译〕
牟宗三,中国,B,自我,天道不已，圣人之纯亦不已。——《心体与性体·第一部》 〔意译〕
龙树,印度,B,符号,凡所有相，皆是虚妄分别；离分别已，见诸法实相。——《中论·观法品》〔意译〕
朱熹,中国,A,自我,日省其身，有则改之，无则加勉。——《语类》
郭象,中国,B,自我,夫养生非求过分，全理尽年而已。——《庄子注·养生主》
海亚姆,伊斯兰波斯,B,自我,夜风送来东方消息，唤醒酣睡之人。——《鲁拜集》〔译〕
冯友兰,中国,A,自我,在自然境界中底人，不知有我，亦不知在作什么。——《新原人·第一章》
苏格拉底,西方,A,他者,我从未向任何人收费，我同等地问富人与穷人。——柏拉图《申辩篇》33a〔译〕
斯宾诺莎,西方,B,他者,凡是遵从理性的人，他所追求的善也为别人所追求。——《伦理学》第四部分·命题三十六〔意译〕
亚里士多德,西方,A,自我,恰当地自爱，并非自私，而是依德性善待自己。——〔译〕《尼各马可伦理学》1166a—1168b
波普尔,西方,B,符号,科学的客观，来自它欢迎一切可能的反驳。——《科学发现的逻辑》〔意译〕
克尔凯郭尔,西方,A,自我,伟大的事，不是去统治，而是意愿成为自我。——《致死的疾病》（Anti-Climacus）〔译〕
奥古斯丁,西方,A,自我,我愿认识两件事：认识你，认识我自己；其余的欲，皆可舍。——《忏悔录·10·?》〔译〕
海德格尔,西方,B,符号,语言是存在之家。——《关于人道主义的书信》〔译〕
克尔凯郭尔,西方,A,自我,绝望，是自我的一种病态。——《致死的疾病》（Anti-Climacus）〔译〕
龙树,印度,B,世界,因果相续，如幻如化；非无因果，非实有果。——《中论·观因果品》〔意译〕
陆九渊,中国,B,他者,为政者，当以教化为先。——《语录》
冯友兰,中国,B,自我,所谓命，是所以使吾人底行为有某种限制者。——《新原人·第五章》
德谟克利特,西方,A,他者,未受教育者中，常有胜过受教育者之人。——〔译〕《残篇》DK B61（斯托拜乌斯转引）
冯友兰,中国,A,自我,人之所以为人者，在其有觉解。——《新原人·第一章》
嵇康,中国,B,自我,声之于心，殊途异轨，不相经纬。——《声无哀乐论》
孟子,中国,A,自我,人皆可以为尧舜。——《孟子·告子下》
慧能,中国,A,自我,见闻转经，口念心不行，即是被经转。——《坛经》（敦煌本）
海亚姆,伊斯兰波斯,A,自我,晨起莫眠，长夜已过，举杯庆生。——《鲁拜集》（菲茨杰拉德英译第5版，开篇）〔译〕
老子,中国,A,自我,宠辱若惊，贵大患若身。——《道德经·第十三章》
释迦牟尼,印度,A,自我,若比丘，于空闲处、树下坐，善观察思惟，则心易得定。——《杂阿含经·卷十七》
莱布尼茨,西方,B,符号,连续的知觉中，醒来只是模糊知觉的清晰化。——《单子论》第21节〔意译〕
释迦牟尼,印度,A,自我,观色如聚沫，受如水上泡，想如春时焰，行如芭蕉，识如幻。——《杂阿含经·卷十》
海亚姆,伊斯兰波斯,B,符号,人间纷争，皆因执名相而昧实相。——《鲁拜集》〔译〕
笛卡尔,西方,B,世界,世界，或物质的整体，按其本性是无垠的。——《哲学原理》第二部分·§21〔意译〕
韩非,中国,A,自我,甚爱必大费，多藏必厚亡。——《韩非子·喻老》
顾炎武,中国,A,自我,守拙全吾真，随俗非所尚。——《亭林诗集》 〔意译〕
程颐,中国,B,自我,不偏之谓中，不易之谓庸。中者，天下之正道；庸者，天下之定理。——《中庸解》序
奥古斯丁,西方,B,自我,罪之发生，在受造意志之缺，而不在神的创造；神是万善之源。——《论自由意志·3·1》〔译〕
吉田兼好,日本,B,他者,世事如棋，局局新而理同。——《徒然草》〔译〕
密尔,西方,B,他者,一种意见被压制，便是人类整体的损失。——《论自由·第二章》〔译〕
商鞅,中国,B,他者,故刑者，所以禁邪也；而赏者，所以助禁也。——《商君书·算地》
庄子,中国,A,自我,虚静恬淡寂漠无为者，天地之平而道德之至也。——《庄子·天道》
周敦颐,中国,A,自我,仁义礼智四者，动静、言貌、视听无违谓之纯。——《通书·治》
王阳明,中国,B,自我,良知良能，愚夫愚妇与圣人同。——《传习录》中
商鞅,中国,A,他者,且夫有高人之行者，固见负于世；有独知之虑者，必见骜于民。——《商君书·更法》
阿伦特,西方,A,自我,一个人最深的孤独，是无人可与他进行那场内心的对话。——《精神生活·思维》〔意译〕
斯宾诺莎,西方,B,他者,统治者最大的危险是背弃公共善而贪图私利。——《政治论》〔意译〕
海德格尔,西方,A,自我,良知之沉默，比任何言说更切近本真自我。——《存在与时间》§58〔译〕
龙树,印度,A,自我,如实知自心本空，则烦恼无可着处。——《大智度论·卷四十三》〔意译〕
爱比克泰德,西方,B,他者,社会靠一套共同的约定（法律与习俗）维系；你既享其利，便当守其约。——《手册·30》〔意译〕
笛卡尔,西方,A,自我,这个「我」，亦即我赖以成为我的那个灵魂，与形体完全不同，甚至比形体更容易被认识。——《第一哲学沉思集》第二沉思〔意译〕
嵇康,中国,B,自我,夫喜、怒、哀、乐，爱、憎、惭、惧，凡此八者，生民所以接物传情。——《声无哀乐论》
道元,日本,B,世界,因果如影，善恶之报，丝毫不爽。——《正法眼藏·因果》
孟子,中国,B,他者,保民而王，莫之能御也。——《孟子·梁惠王上》
海德格尔,西方,B,他者,常人（das Man）支配着公共解释的平均状态。——《存在与时间》§27〔译〕
孟子,中国,A,自我,恻隐之心，人皆有之；羞恶之心，人皆有之；恭敬之心，人皆有之；是非之心，人皆有之。——《孟子·告子上》
孟子,中国,B,他者,不违农时，谷不可胜食也。——《孟子·梁惠王上》
郭象,中国,A,自我,夫坐忘者，奚所不忘哉！——《庄子注·大宗师》
张载,中国,A,符号,于无疑处有疑，方是进矣。——《张子语录》
福柯,西方,B,符号,知识考古学要做的，是揭示话语形成之下的规则。——《知识考古学》〔译〕
慧能,中国,B,符号,何以渐顿？法本一宗，人有南北。——《坛经》（敦煌本）
阿伦特,西方,B,他者,革命的意义，不在于暴力，而在于建立新的自由空间。——《论革命》〔译〕
帕斯卡,西方,B,自我,人在两个无限之间——无限大与无限小——悬浮，既不知所从，也不知所往。——《思想录》L199〔意译〕
巴门尼德,西方,B,世界,既无生成，亦无消亡，因为若有，必来自非存在。——〔译〕《论自然》残篇 DK B9（辛普里丘转引）
老子,中国,A,自我,知其雄，守其雌，为天下溪。——《道德经·第二十八章》
陆九渊,中国,A,自我,胆量皆因才见，才大则胆大。——《语录》（卷三十五）
荀子,中国,A,自我,志意修则骄富贵，道义重则轻王公。——《荀子·修身》
德谟克利特,西方,A,自我,犯错固属人情，坚持错误却是愚昧。——〔译〕《残篇》DK B54（斯托拜乌斯转引）
道元,日本,A,自我,粥饭边即是佛法，莫轻厨房之事。——《典座教訓》
王夫之,中国,B,世界,天地之化日新。——《思问录·外篇》
僧肇,中国,A,自我,圣心冥寂，理极同无。——《般若无知论》
海亚姆,伊斯兰波斯,A,自我,莫怨造物，怨己不饮而空老。——《鲁拜集》〔译〕
帕斯卡,西方,B,符号,哲学家既不认识真正的善，也不认识真正的恶。——《思想录》L445〔意译〕
吉田兼好,日本,B,自我,礼乐虽废，人心之善不亡。——《徒然草》〔译〕
老子,中国,B,自我,圣人之道，为而不争。——《道德经·第八十一章》
叔本华,西方,A,自我,记忆与想象，使人的痛苦倍增于动物。——《作为意志和表象的世界》〔译〕
嵇康,中国,B,他者,夫能移风易俗者，孰不由于乐乎？——《声无哀乐论》
克尔凯郭尔,西方,A,自我,一个真正的人，敢于做自己、敢于成为例外。——《致死的疾病》（Anti-Climacus）〔译〕
萨特,西方,B,他者,他人自由是我自由的界限与条件。——《存在与虚无》〔译〕
第欧根尼,西方,A,自我,简朴不是匮乏，而是自由；富足不是拥有，而是羁绊。——〔意译〕《名哲言行录》卷六（犬儒要义）
墨子,中国,B,他者,杀一人谓之不义，必有一死罪矣。——《墨子·非攻上》
郭象,中国,B,自我,各然其所然，各可其所可。——《庄子注·大宗师》
孙子,中国,B,他者,夫吴人与越人相恶也，当其同舟而济，遇风，其相救也如左右手。——《孙子兵法·九地篇》
王弼,中国,A,他者,为治之功，在于明与守。——《老子注·五十二章》
孙子,中国,B,他者,兵无常势，水无常形，能因敌变化而取胜者，谓之神。——《孙子兵法·虚实篇》
爱比克泰德,西方,A,自我,疾病是身体的阻碍，不是意愿的阻碍——除非意愿自身选择如此。——《手册·9》
嵇康,中国,A,自我,故世之难得者，非财也，非荣也，患意之不足耳。——《答难养生论》
德谟克利特,西方,A,世界,美好的事物难得而易守。——〔译〕《残篇》DK B79（斯托拜乌斯转引）
尼采,西方,B,自我,什么是幸福？就是感到自己的力量在增长、阻力在被克服。——《敌基督》第2节〔意译〕
牟宗三,中国,B,他者,中国文化，是综和的尽理之精神。——《政道与治道》 〔意译〕
柏拉图,西方,B,他者,诗人编造神彼此争斗、欺骗的谎言，于城邦无益，当受审查。——〔译〕《理想国》377e—378e
荀子,中国,B,他者,礼者，法之大分，类之纲纪也。——《荀子·劝学》
尼采,西方,B,符号,在基督教中，既没有道德，也没有真理——有的只是对生命的债务和伪造。——《敌基督》〔意译〕
庄子,中国,A,自我,虚室生白，吉祥止止。——《庄子·人间世》
克尔凯郭尔,西方,B,他者,婚姻制度若沦为单纯的习俗，便失去其伦理重量。——《非此即彼》（Victor Eremita 编纂）〔译〕
维特根斯坦,西方,B,符号,遵循规则不是内心领悟，而是在实践中被校准。——《哲学研究》§201〔译〕
商羯罗,印度,A,同一,凡夫执我我所，智者知我即梵，无有我所。——《梵经注·卷一》〔译〕
牟宗三,中国,B,他者,政统之继续，即完成民主建国。——《政道与治道》 〔意译〕
加缪,西方,B,世界,世界的荒谬，不赦免人，却召唤人站立。——《西西弗神话》〔意译〕
密尔,西方,B,他者,国家的职能，是保障个人自由，而非取代它。——《论自由》〔译〕
朱熹,中国,B,世界,太极只是个极好至善的道理。——《太极图说解》
惠施,中国,B,世界,大同而与小同异，此之谓小同异；万物毕同毕异，此之谓大同异。——《庄子·天下》（历物十事之五）
康德,西方,B,他者,法治国家中，每个人都是主权者的成员，而非臣属。——《道德形而上学·法权论》〔译〕
商鞅,中国,B,他者,无宿治，则邪官不及为奸。——《商君书·垦令》
洛克,西方,A,自我,记忆是同一人格得以成立的关键。——《人类理解论》卷二·章廿七·节20〔意译〕
康德,西方,B,他者,天赋权利，是每个人依其人性而有的、与生俱来的权利。——《道德形而上学·法权论》〔译〕
萨特,西方,A,同一,我选择自己时，也把世界纳入我的谋划。——《存在与虚无》〔意译〕
马克思,西方,B,他者,危机，是资本主义矛盾的暴力爆发。——《资本论》第三卷〔译〕
伊壁鸠鲁,西方,A,自我,死亡于我们无足轻重；因那消散者已无感觉，而无感觉者于我无物。——〔译〕《主要学说》KD 2
苏格拉底,西方,B,符号,未经检验的意见，只是幻象。——柏拉图《理想国》〔译〕※
郭象,中国,B,世界,斯非有所私也，故万物得以自生。——《庄子注·大宗师》
王夫之,中国,A,自我,学者之患，莫大于自欺。——《俟解》 〔意译〕
黄宗羲,中国,B,他者,取士之法，当宽于资格而严于实学。——《明夷待访录·取士》 〔意译〕
萨特,西方,B,自我,人通过他人认识自己，却也在他人中迷失。——《存在与虚无》〔意译〕
商羯罗,印度,A,同一,究竟智（上智）者，见一切唯梵，无有二。——《梵经注·卷三》〔译〕
王阳明,中国,A,自我,吾心自有光明月，千古团圆永无缺。——《中秋》
海亚姆,伊斯兰波斯,B,世界,酒与歌，是这虚妄世间唯一真实。——《鲁拜集》〔译〕
莱布尼茨,西方,B,世界,充足理由律：凡发生之事，必有理由使之如此而非别样。——《单子论》第32节〔意译〕
福柯,西方,A,自我,我把自我当作一种待解的作品，而非既定的实体。——《性经验史·关心自己》〔意译〕
第欧根尼,西方,A,自我,我从不为贫穷遮掩，因它本不值得羞耻。——〔意译〕《名哲言行录》卷六（据其言行）
福柯,西方,B,自我,灵魂是身体的监狱。——《规训与惩罚》〔译〕
老子,中国,B,自我,慎终如始，则无败事。——《道德经·第六十四章》
第欧根尼,西方,B,他者,多数人的意见如风，不可为立身之据。——〔意译〕《名哲言行录》卷六（据其言论）
德谟克利特,西方,B,自我,高贵而贫者，胜过低贱而富者。——〔译〕《残篇》〔⚠️ 编号待核；斯托拜乌斯《选集》转引〕
海德格尔,西方,A,自我,我能失去的，只是那本不属于我的「常人」身份。——《存在与时间》〔意译〕
王充,中国,B,世界,夫天覆于上，地偃于下，下气蒸上，上气降下，万物自生其中间矣。——《论衡·自然》
李贽,中国,A,自我,童子者，人之初也；童心者，心之初也。——《焚书·童心说》
鲁米,伊斯兰波斯,B,他者,社群如体，一肢痛，全身感。——《玛斯纳维·卷三》〔译〕
慧能,中国,B,自我,改过必生智慧，护短心内非贤。——《坛经·无相颂》（宗宝本） ⚠️
顾炎武,中国,A,自我,学者当先立乎其大者。——《亭林文集》 〔意译〕
柏拉图,西方,A,自我,真正的哲学家，终其一生都在练习死亡与死的状态。——〔译〕《斐多》64a
密尔,西方,A,自我,幸福，是可欲的；但有时为更高的善而牺牲幸福，这本身即是幸福。——《功利主义·第二章》〔译〕
巴门尼德,西方,B,世界,它是唯一者，连续不可分；因为它与自身处处相似。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）
海德格尔,西方,B,世界,科学不思；它只在存在者层面运作。——《演讲与论文集·什么叫思想？》〔译〕
黑格尔,西方,B,他者,历史中的个人，是「世界历史个人」，他们实现了时代的精神。——《历史哲学讲演录》〔译〕
庄子,中国,A,他者,相濡以沫，不如相忘于江湖。——《庄子·大宗师》
帕斯卡,西方,A,自我,真正的自由，是摆脱对消遣的奴役，回到自己的内心。——《思想录》L164〔意译〕
陆九渊,中国,A,自我,古人精神，不只是在书上。——《语录》
程颐,中国,A,自我,颜子所好者，何学也？学以至圣人之道也。——《颜子所好何学论》
荀子,中国,B,符号,言而当，知也；默而当，亦知也。——《荀子·非十二子》
福柯,西方,B,他者,生命的权力（bio-power）以「使活」与「任死」为运作方式。——《必须保卫社会》〔译〕
奥古斯丁,西方,B,自我,魔鬼之恶，不在被造的本性，而在其悖逆的选择。——《论自由意志·3·1》〔译〕
海亚姆,伊斯兰波斯,A,自我,一饼、一壶酒、一卷诗，你在我旁荒野之中——此即天堂。——《鲁拜集》（菲茨杰拉德英译第5版，「一卷诗」首）〔译〕
慧能,中国,A,自我,无念为宗，无相为体，无住为本。——《坛经》（敦煌本）
伊壁鸠鲁,西方,B,自我,不要怕神，也不要怕死；善的事物容易得到，可怕的事物容易忍受。——〔译〕《致美诺寇的信》LM
王阳明,中国,B,自我,吾平生讲学，只是「致良知」三字。——《寄正宪男手墨》
笛卡尔,西方,A,自我,思想是我的本质，没有思想，我就不存在。——《第一哲学沉思集》第二沉思〔意译〕
亚里士多德,西方,A,自我,最容易的是滑向两个极端，最难的是命中那居中的一点。——〔译〕《尼各马可伦理学》1109b
孔子,中国,A,自我,不患人之不己知，患不知人也。——《论语·学而》
密尔,西方,A,他者,良知，是社会强加于个人的第二道律令。——《论自由·第四章》〔译〕
罗素,西方,A,自我,我的一生，是渴望理解世界、也渴望被世界理解的一生。——《自传》〔意译〕
马可·奥勒留,西方,A,自我,一个人失去的不是过去的生活，也不是未来的生活，因为他并不拥有它们；他失去的只是他此刻正在过的生活。——《沉思录》卷二·14
休谟,西方,B,符号,因果推断的根基是习惯，而非逻辑必然性。——《人性论》卷一·部三·章十四〔意译〕
维特根斯坦,西方,A,符号,哲学不改进我，它只是让我看清自己语言的混乱。——《哲学研究》§133〔意译〕
王弼,中国,B,符号,夫爻者，言乎变者也。——《周易略例·明爻通变》
顾炎武,中国,B,他者,史者，所以鉴往知来、考治乱之迹。——《亭林文集》 〔意译〕
巴门尼德,西方,B,世界,只有两条探究之路可陈说：其一，它存在，且不可能不存在——这是说服之路，与真理同行；其二，它不存在，且必然不存在——此路绝不可知。——〔译〕《论自然》残篇 DK B2（辛普里丘转引）
王夫之,中国,B,他者,有定理而无定法。——《读通鉴论》
福柯,西方,A,自我,我警惕一切把我变成权威的企图。——《权力的眼睛》〔意译〕
牟宗三,中国,B,他者,三统并建：道统、学统、政统。——《政道与治道》 〔意译〕
雅斯贝尔斯,西方,B,世界,大全（das Umgreifende）是一切存在者得以被包含的无所不包的境域。——《哲学》〔译〕
笛卡尔,西方,B,世界,上帝在时间之初创造了物质以及运动的量与方式，如今仍通过同一行为维持它们。——《哲学原理》第二部分·§36〔意译〕
周敦颐,中国,A,自我,至诚则动，动则变，变则化。——《通书·拟议》
巴门尼德,西方,B,同一,思想若离了存在，便无所思；因为思者之外，别无他物。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）
僧肇,中国,A,世界,圣人之于物也，即万物之自虚，不假虚而虚物。——《不真空论》
熊十力,中国,B,他者,古今之变，非一途；治者当观其会通。——《读经示要》 〔意译〕
福柯,西方,A,自我,我从不寻求成为谁的导师；我写作是为了让问题保持开放。——《权力的眼睛》〔意译〕
黑格尔,西方,B,他者,国家，是伦理理念的现实。——《法哲学原理·§257》〔译〕
塞涅卡,西方,B,自我,时间是大自然借给我们的，它终将收回；没有什么真正属于我们。——《论生命之短暂·1》〔译〕
奥古斯丁,西方,A,自我,你比我最显的作为更真实，比我最深的自我更亲切。——《忏悔录·3·6》〔译〕
韩非,中国,B,他者,人主自用其刑德，则群臣畏其威而归其利矣。——《韩非子·二柄》
奥古斯丁,西方,B,符号,我们在受造界中看见神的痕迹，正如在书页中读作者。——《论三位一体·1·?》〔译〕
亚里士多德,西方,B,自我,每种技艺与每种探究，都以某种善为目的。——〔译〕《尼各马可伦理学》1094a
王夫之,中国,B,世界,天之生物，其化不息。——《思问录·内篇》
慧能,中国,B,自我,食肉者断大慈悲佛性种子。——《坛经》（敦煌本）
罗素,西方,B,他者,一个好社会，应让尽可能多的人获得幸福，而不只让少数人掌握权力。——《社会重建的原则》〔译〕
释迦牟尼,印度,B,自我,地狱、畜生、饿鬼之苦，皆由自业所感，非从外得。——《长阿含经·游行经》
商鞅,中国,B,他者,以刑去刑，虽重刑可也。——《商君书·去强》
董仲舒,中国,B,他者,天者，百神之君也，王者之所最尊也。——《春秋繁露·郊义》
赫拉克利特,西方,A,世界,同一物在我们身上既生且死、既醒且眠、既幼且老；这些事物转化便是那些，那些转化便是这些。——〔译〕《残篇》DK B88（克莱门《杂记》转引）
周敦颐,中国,A,自我,人之生，不幸，不闻过；大不幸，无耻。必有耻，则可教；闻过，则可贤。——《通书·幸》
尼采,西方,B,他者,基督教是怜悯的宗教，而怜悯与一切上升的生命本能相敌对。——《敌基督》第7节〔意译〕
程颢,中国,A,自我,苟以外物为外，牵己而从之，是以己性为有内外也。——《定性书》
胡塞尔,西方,A,自我,我自身的时间性构成了内在体验之流。——《笛卡尔式的沉思》〔意译〕
叔本华,西方,A,自我,自杀是对意志的肯定而非否定，因为它出自对生命的厌恶，而非对意志的超越。——《作为意志和表象的世界》〔译〕
阿奎那,西方,B,世界,自然之有目的，显有 intelligent designer；无序之中有序，岂偶然哉。——《神学大全·I·q.2·a.3》〔译〕
赫拉克利特,西方,B,世界,对于醒着的人，世界是同一而共同的；对于每个睡者，却各自退入一个私人的世界。——〔译〕《残篇》DK B89（第欧根尼·拉尔修 IX.9 转引）
公孙龙,中国,B,符号,故所以为有马者，独以马为有马耳，非有白马为有马。——《公孙龙子·白马论》
孟子,中国,B,他者,五亩之宅，树之以桑，五十者可以衣帛矣。——《孟子·梁惠王上》
萨特,西方,B,他者,群体（le groupe）既解放又奴役个体。——《辩证理性批判》〔译〕
海德格尔,西方,B,世界,世界世界化，物物化。——《林中路·物》〔译〕
克尔凯郭尔,西方,A,自我,在无限弃绝中，骑士找回了自己。——《恐惧与颤栗》（Johannes de Silentio）〔译〕
萨特,西方,A,自我,真诚（sincérité）的谎言在于假装自己是被决定的。——《存在与虚无》〔译〕
萨特,西方,B,符号,语言是他人闯入我内在的通道。——《存在与虚无》〔意译〕
孙子,中国,B,他者,惟明君贤将，能以上智为间者，必成大功。——《孙子兵法·用间篇》
熊十力,中国,B,他者,治道贵通，不贵执。——《原儒·卷三》 〔意译〕
孔子,中国,B,他者,未能事人，焉能事鬼？未知生，焉知死？——《论语·先进》
牟宗三,中国,A,符号,智的直觉，是本体之自我呈现。——《智的直觉与中国哲学》 〔意译〕
密尔,西方,B,他者,权力，需要被制约，无论它来自君主还是多数。——《代议制政府》〔译〕
马克思,西方,A,他者,共产主义，是人与自然、人与人之间矛盾的真正解决。——《1844年经济学哲学手稿》〔译〕
洛克,西方,A,符号,若没有理解，便没有真正的选择。——《人类理解论》卷二·章廿一·节31〔意译〕
康德,西方,A,自我,人之所以为人，在于他能为自己立法。——《道德形而上学奠基》〔译〕
亚里士多德,西方,A,自我,幸福之人自足，因他无所匮乏于外物而能自得其乐。——〔译〕《尼各马可伦理学》1169b—1170a
孙子,中国,A,他者,上将伐谋，其次伐交，其次伐兵，其下攻城。——《孙子兵法·谋攻篇》
安萨里,伊斯兰波斯,A,自我,内在的意向（niyya），重于外在的仪式。——《宗教学科的复兴》〔译〕
王阳明,中国,B,自我,人只要在性上用功，看得一「性」字分明，即万理灿然。——《传习录》上
程颢,中国,A,同一,学者须先识仁。仁者，浑然与物同体。识得此理，以诚敬存之而已，不须防检，不须穷索。——《识仁篇》（《遗书》卷二上）
僧肇,中国,B,符号,若动而静，似去而留；可以神会，难以事求。——《物不迁论》
莱布尼茨,西方,B,世界,上帝的选择出于至善，因而世界必然最好。——《神义论》〔意译〕
牟宗三,中国,A,自我,良知之天理，是吾人立身之权衡。——《圆善论》 〔意译〕
萨特,西方,A,自我,人活成自己不是的，却要成为自己是的。——《存在与虚无》〔意译〕
商鞅,中国,B,他者,赏厚而信，刑重而必。——《商君书·修权》
公孙龙,中国,B,符号,以天下之所有，为天下之所无，未可。——《公孙龙子·指物论》
海德格尔,西方,A,自我,死亡是此在最本己的、不可转让的可能性。——《存在与时间》§53〔译〕
柏拉图,西方,B,自我,不义者灵魂内部彼此冲突，永远不能自洽。——〔译〕《理想国》444b—445a
加缪,西方,B,他者,我们都在推石，这是人类无声的兄弟情谊。——《西西弗神话》〔意译〕
第欧根尼,西方,B,世界,习俗是多数人的成见；自然才是真实的律法。——〔意译〕《名哲言行录》卷六（犬儒要义）
商鞅,中国,A,他者,虽有贤君，不爱无功之臣；虽有慈父，不爱无益之子。——《商君书·修权》
吉田兼好,日本,B,自我,天下之事，成于慎，败于忽。——《徒然草》〔译〕
萨特,西方,A,自我,人处在「被弃」状态：无造物主为他预设意义。——《存在主义是一种人道主义》〔译〕
董仲舒,中国,B,他者,王道之三纲，可求于天。——《春秋繁露·基义》
朱熹,中国,A,自我,格物是梦觉关，诚意是善恶关。——《语类》
荀子,中国,B,他者,明分使群。——《荀子·富国》
王阳明,中国,A,自我,破山中贼易，破心中贼难。——《王文成公全书·与杨仕德薛尚谦》
柏拉图,西方,B,世界,宇宙本身是一个有生命、有理性、可见的神。——〔译〕《蒂迈欧》30b—34a
苏格拉底,西方,B,他者,我找不到任何一个人是真正有智慧的。——柏拉图《申辩篇》21b—c〔译〕
商羯罗,印度,B,世界,世界生灭如泡沫，梵不生不灭如虚空。——《伊莎奥义书注》〔译〕
密尔,西方,A,自我,自我修养，是每个人对自己和社会的义务。——《自传》〔译〕
朱熹,中国,B,自我,论先后，当以知为先；论轻重，当以行为重。——《语类》卷九
康德,西方,A,自我,启蒙，是人走出由他自己所招致的监护状态。——《答复这个问题：什么是启蒙》（1784）〔译〕
公孙龙,中国,B,符号,指也者，天下之所无也；物也者，天下之所有也。——《公孙龙子·指物论》
韩非,中国,B,他者,宰相必起于州部，猛将必发于卒伍。——《韩非子·显学》
帕斯卡,西方,A,自我,眼泪并非来自理性的算计，而来自心的深处。——《思想录》〔意译〕
伊壁鸠鲁,西方,B,自我,爱财若取之不正，是不虔；若取之正当却拒不享用，是可耻。——〔译〕《梵蒂冈格言集》VS 25
鲁米,伊斯兰波斯,B,自我,一千种跪拜亲吻大地的方式。——《玛斯纳维·卷一》〔译〕
洛克,西方,B,世界,物质的微粒构造是事物可感性质的根据。——《人类理解论》卷二·章八·节9〔意译〕
维特根斯坦,西方,A,符号,我无法「私人地」遵守一条规则，规则的遵守必然公共。——《哲学研究》§202〔译〕
柏拉图,西方,A,自我,个人的正义，在于灵魂中理性、激情、欲望三者各司其职、互不僭越。——〔译〕《理想国》443e—444a
福柯,西方,B,符号,话语的秩序，决定了什么能被言说、什么必须沉默。——《知识考古学》〔译〕
龙树,印度,B,符号,若不依俗谛，不得第一义；不得第一义，则不得涅槃。——《中论·观四谛品》
